paper_id,first_author,year,title,venue,citation_count,truc,relevance,failure_pattern,read_level,key_claim,key_finding,notes
T1_14,Qian Wenbin,2023,A novel granular ball computing-based fuzzy rough set for feature selection in label distribution learning,KBS,53,1,core,A (component reuse),fulltext,GB+FRS cho label distribution learning (LDL),KBS 2023; 53c,LDL là hướng ứng dụng mới của GB
T1_15,Xia,2023,Multiscale Fuzzy Entropy-Based Feature Selection,IEEE TFS,51,1,core,n/a,abstract,Fuzzy entropy đa tỉ lệ cho FS,TFS 2023; 51c; cite GBNRS,Multiscale approach; entropy-based significance
T1_16,Xia,2023,Incremental Learning Based on Granular Ball RS for Classification in Dynamic Mixed-Type Decision System,IEEE TKDE,50,1,core,n/a,abstract,Incremental attribute reduction với GB RS khi dữ liệu thay đổi,Dynamic + mixed-type; TKDE 2023,Kết nối với mảng incremental RS; 50c
T1_17,Xia,2021,Granular ball guided selector for attribute reduction,KBS,49,1,core,n/a,abstract,GB làm guide cho selector attribute reduction,KBS 2021; 49c,Selector dựa GB thay forward greedy thuần
T1_18,Peng,2022,VPGB: A granular-ball based model for attribute reduction and classification with label noise,Information Sciences,46,1,core,n/a,abstract,GB robust với noise nhãn; purity tự nhiên lọc nhiễu,InfSci 2022; 46c; cite GBNRS,Đã trong outline (Peng 2022 43c → nay 46c); noise-robust GB
T1_19,Xia,2024,Detecting anomalies with granular-ball fuzzy rough sets,Information Sciences,48,1,peripheral,n/a,abstract,GB FRS cho phát hiện bất thường (anomaly detection),InfSci 2024; 48c,Ứng dụng khác của GB; peripheral với survey FS
T1_20,Xia Deyou,2024,Three-Way Approximations Fusion With Granular-Ball Computing to Guide Multigranularity Fuzzy Entropy for Feature Selection,IEEE TFS,21,1,core,n/a,abstract,GB+three-way approximation+multigranularity fuzzy entropy cho FS,Nén sample space trước rồi đánh giá feature significance,TFS 2024; 21c; khác tác giả Xia GBNRS
T2A_01,Zhu William,2007,Topological approaches to covering rough sets,Information Sciences,637,2a,core,A (equivalence),fulltext,Covering RS nhìn từ tôpô; điều kiện sinh cùng toán tử xấp xỉ; axiom system,Nền tảng bắt buộc cho mọi bài tôpô × RS,637c; nền tảng; đọc full-text cho §4
T2A_02,Yao W,2023,A topological approach to rough sets from a granular computing perspective,Information Sciences,21,2a,core,A (equivalence),fulltext,Alexandrov topology làm nền cho rough set models; open-hoods/closed-hoods,Common framework cho preorder/neighborhood/covering models,21c; đã trong outline; Yao 2023
T2A_03,Al-shami T,2025,Applications of δ-Open Sets via Separation Axioms Covering Properties and Rough Set Models,Journal of Mathematics,3,2a,peripheral,A (equivalence),fulltext,δ-open sets → separation axioms + covering properties + rough models,Algorithm xác định tập δ-definable vs δ-rough; accuracy measures,3c nhưng mới 2025; Al-shami là tác giả lặp lại trong mảng này
T2A_04,Wang Xue,2019,Study on covering rough sets with topological methods,CAAI Trans. Intell. Technol.,9,2a,peripheral,A (equivalence),fulltext,CRT spaces từ covering RS; separation axioms trong CRT,Tất cả separation axioms kiểm trong các loại CRT spaces khác nhau,9c; xuất bản tại CAAI; bổ trợ cho Zhu 2007
T2A_05,Zhang Hua-Peng,2009,Note on Generalized rough sets based on reflexive and transitive relations,Information Sciences,68,2a,background,A (equivalence),fulltext,Preorder → Alexandrov topology; paper 2008 thực ra đã dùng topology này,Clarification: không phải ý tưởng mới mà là Alexandrov topology đã biết,68c; bài nhận xét ngắn; background cho Trục 2a
T2B_01,Kindelan R,2021,A topological data analysis based classifier,Advances in Data Analysis and Classification,13,2b,core,A (component reuse),fulltext,Phức đơn hình + PH chọn sub-complex + star/link operator phân lớp,TDABC thắng KNN và wKNN trên dữ liệu mất cân bằng và chồng lấn,Đe dọa lớn nhất cho hướng TDA-approx-space; star/link đã làm
T2B_02,Su Zhe,2025,Topological data analysis and topological deep learning beyond persistent homology: a review,Artificial Intelligence Review,34,2b,background,n/a,abstract,Survey TDA+TDL vượt PH: topological Laplacians / sheaf / Dirac,Review toàn diện TDA ngoài PH; thảo luận giới hạn của PH,34c; mới 2025; background cho §2/§4 Trục 2b
T2B_03,Salnikov V,2018,Simplicial complexes and complex systems,European Journal of Physics,182,2b,background,n/a,abstract,Giới thiệu TDA/phức đơn hình cho complex systems,Higher-order interactions + robustness under deformation; strengths/weaknesses,182c; background giới thiệu phức đơn hình
T3_01,Dai Jianhua,2018,Maximal-Discernibility-Pair-Based Approach to Attribute Reduction in Fuzzy Rough Sets,IEEE TFS,176,3,core,n/a,abstract,Object-pair viewpoint: bỏ qua cặp đã phân biệt → chỉ xử lý phần cần thiết,Reduced maximal discernibility pairs; two algorithms; hiệu quả hơn attribute-set view,176c; đã trong outline; Dai 2018 TFS — đọc full-text cho §5
T3_02,Sowkuntla Pandu,2021,MapReduce based parallel fuzzy-rough attribute reduction using discernibility matrix,Applied Intelligence,35,3,core,n/a,abstract,DARA: discernibility matrix accelerator; song song hóa MapReduce,Ít space hơn; dễ song song hơn dependency-based; large datasets,35c; đã trong outline; DARA
T3_03,Luo Sheng,2025,Accelerated Feature Selection via Discernibility Hashing: A Rough Set Approach,Entropy,2,3,core,n/a,abstract,Hash function giảm discernibility matrix từ O(n²) xuống O(n) space,Discernibility hash tránh redundant + invalid elements; fast reduction,2c nhưng kỹ thuật novel; mới 2025; Entropy
T3_04,Kuzudisli Cihan,2023,Review of feature selection approaches based on grouping of features,PeerJ,69,3,background,n/a,abstract,First review về FS qua nhóm feature: supervised/unsupervised/semi/integrative,Grouping → representative → hiệu quả hơn individual scoring,69c; đã trong outline; đọc full-text cho §5
T3_05,Cai Jie,2018,Feature selection in machine learning: A new perspective,Neurocomputing,1831,3,background,n/a,abstract,Survey FS: supervised/unsupervised/semi; evaluation measures,Background về toàn mảng FS,1831c; background reference; không cần đọc full-text
T3_06,Wang Changzhong,2019,Fuzzy rough set-based attribute reduction using distance measures,Knowledge-Based Systems,222,3,core,n/a,abstract,Distance measure thay intersection operation trong fuzzy RS dependency,Variable distance parameter; iterative computation; tốt hơn fixed metric,222c; KBS 2019; bổ sung cho Trục 3 fuzzy RS efficiency
T4_01,Cover T,1967,Nearest neighbor pattern classification,IEEE Transactions on Information Theory,16189,4,background,n/a,abstract,Bayes error R* ≤ R ≤ 2R* với NN rule trên phân phối trơn,Giới hạn tổng quát: NN chứa nửa thông tin của tập vô hạn,16189c; kinh điển; background §6
T4_02,Drakopoulos J,1995,Bounds on the Classification Error of the Nearest Neighbor Rule,Machine Learning Proceedings 1995 (ICML),10,4,peripheral,n/a,abstract,Finite-sample bounds: R_S bị chặn dưới bởi Bayes error + hạng tử phụ thuộc S,Ứng dụng thực tế với tập hữu hạn; Holder continuity,10c; thêm vào §6 finite-sample
T4_03,Wheat Lesley,2025,Testing Bayes Error Rate Estimators in Difficult Situations Using Monte Carlo Simulations,IEEE Access,1,4,core,n/a,abstract,Đánh giá kNN/GHP/KDE cho BER estimation; Monte Carlo 2500 sim/scenario,kNN chính xác nhất; cần ≥1000 mẫu/lớp để CI <5%; xấu hơn khi d tăng,1c nhưng methodology mới; xác nhận distance concentration problem ở d cao
T4_04,Santos Miriam,2022,A unifying view of class overlap and imbalance: Key concepts multi-view panorama and open avenues,Information Fusion,93,4,core,n/a,abstract,Taxonomy mới cho class overlap measures; unified view của overlap+imbalance,Overlap nguy hiểm hơn imbalance; nhiều nguồn complexity; taxonomy,93c; đã trong outline; đọc full-text cho §6
T4_05,Han Mingming,2024,A new data complexity measure for multi-class imbalanced classification,Pattern Recognition,16,4,core,n/a,abstract,MFII: index đo combined effects của skewed distribution + data characteristics,VoR và DoC để đánh giá resolution và interpretability của complexity measures,16c; mới 2024; Pattern Recognition
T4_06,Zhang Jieyu,2022,A Survey on Programmatic Weak Supervision,arXiv,116,4,background,n/a,abstract,Survey PWS: labeling functions + label model + downstream training,Comprehensive PWS workflow; multi-source noisy labeling,116c; arXiv; background cho §6 nhãn gián tiếp
T4_07,Wang Ruxin,2018,Multiclass Learning With Partially Corrupted Labels,IEEE TNNLS,127,4,core,n/a,abstract,Classification với nhãn bị corrupt ngẫu nhiên; importance reweighting,Upper bound tỉ lệ nhiễu; convergence đến optimal classifier; consistent,127c; van Rooyen 2018 family; TNNLS
T4_08,Yuan Zhong,2021,Attribute reduction methods in fuzzy rough set theory: An overview comparative experiments and new directions,Applied Soft Computing,126,4,background,n/a,abstract,Survey fuzzy RS reduction: 6 trục (data/preprocessing/metric/operation/rule/evaluation),3 loại reduction rules: dependency/entropy/discernibility; statistically significant differences,126c; đã trong outline (survey reference); đọc full-text cho §2
T4_09,Dai Tran Thanh,2024,A new approach for attribute reduction from decision table based on intuitionistic fuzzy topology,Soft Computing,1,2a,core,A+C,fulltext,IFT-based reduction: IF-subbase → measure significance → filter+filter-wrapper,Reduct nhỏ hơn 50%; accuracy cao hơn 10%; loại noisy attributes tốt,1c; BÀI CỦA TÁC GIẢ — cần confirm; Soft Computing 2024; trích dẫn như prior work
T4_10,Qian Wenbin,2024,Label disambiguation-based feature selection for partial label learning via fuzzy dependency and feature discernibility,Applied Soft Computing,8,4,core,A (component reuse),fulltext,Fuzzy RS + discernibility + label disambiguation cho partial label FS,AppSoftComp 2024; 8c; bridge GrC×nhãn gián tiếp,Wenbin Qian tác giả lặp lại mảng partial label × GrC
T4_11,Qian Wenbin,2022,Local rough set-based feature selection for label distribution learning with incomplete labels,IJMLC,20,4,core,A (component reuse),fulltext,Local rough set framework cho incomplete-label distribution learning,IJMLC 2022; 20c; local RS thay global RS để handle incomplete supervision,Partial supervision × RS; kết nối Trục 3 (local) và Trục 4 (nhãn)
T4_12,Qian Wenbin,2023,Disambiguation-based partial label feature selection via feature dependency and label consistency,Information Fusion,46,4,core,A (component reuse),fulltext,GB+NRS cho partial label FS: feature dependency + label consistency,InfoFusion 2023; 46c; granular ball cho disambiguation,Đã thấy trong GBNRS citation graph (53c); InfoFusion Q1
T5_01,Zhang Yuchao,2023,Feature selection based on neighborhood rough sets and Gini index,PeerJ Computer Science,22,5,core,n/a,abstract,NRS+Gini index trên 16 UCI datasets; statistical tests,Kết quả thống kê: NO significant differences vs 4 classical NRS algorithms,"VÀNG cho §8: tác giả tự nhận không khác biệt thống kê nhưng vẫn publish ""improvement"""
T5_02,Wang Ning,2023,A new method for feature selection based on weighted k-nearest neighborhood rough set,Expert Systems with Applications,66,1,peripheral,n/a,abstract,WKNRS: weight neighbor samples bằng std của class labels; noise-robust,ESWA 2023; 66c; 16 UCI datasets; cũng trong GBNRS citation graph,Peripheral: methodology tốt nhưng không trực tiếp cho §8 critique
T1_21,Jensen Richard,2007,Fuzzy-Rough Sets Assisted Attribute Selection,IEEE TFS,742,1,core,n/a,abstract,Fuzzy lower approximation for continuous-valued FS without discretisation,Fuzzy-rough dependency degree; greedy forward search; 6 UCI datasets,Citation-chain addition; 742c; foundational fuzzy-rough NRS
T1_22,Cornelis Chris,2010,Attribute selection with fuzzy decision reducts,Information Sciences,467,1,core,n/a,abstract,Fuzzy decision reducts via tolerance-based fuzzy-rough sets,Tolerance relation thay equivalence; crisp decisions from fuzzy boundaries,Citation-chain addition; 467c; extends Jensen2007 tolerance
T1_23,Yao Yiyu,2010,Three-way decisions with probabilistic rough sets,Information Sciences,1321,1,core,n/a,abstract,Three-way decision model: accept/reject/defer with probabilistic thresholds,Bridge Bayesian decision theory and rough set boundary region,Citation-chain addition; 1321c; foundational three-way; used in §3
